property	pre	post	verdict
identity.id	mii-ig-molgen-de-v2026	mii-ig-molgen-de-v2026	unchanged
identity.canonical	https://www.medizininformatik-initiative.de/fhir/ext/modul-molgen	https://www.medizininformatik-initiative.de/fhir/ext/modul-molgen	unchanged
identity.packageId	de.medizininformatikinitiative.kerndatensatz.molgen	de.medizininformatikinitiative.kerndatensatz.molgen	unchanged
identity.name	MII_IG_MolGen_DE	MII_IG_MolGen_DE	unchanged
identity.version	2026.0.4	2026.0.4	unchanged
identity.fhirVersion	4.0.1	4.0.1	unchanged
identity.calver	true	true	unchanged
identity.publisher	Medizininformatik-Initiative	Medizininformatik Initiative	expected-change
identity.status	active	active	unchanged
identity.title	MII IG Kerndatensatz-Modul Molekulargenetischer Befundbericht	MII IG Kerndatensatz-Modul Molekulargenetischer Befundbericht	unchanged
licence.contradictory	false	false	unchanged
dependency_health.injection_risk	true	false	improved
narrative_sources.dual_source	false	true	REGRESSION
mode	static	static	unchanged
artifacts.profiles	16	16	unchanged
artifacts.extensions	5	5	unchanged
artifacts.valuesets	4	4	unchanged
artifacts.codesystems	0	0	unchanged
artifacts.logicals	1	1	unchanged
artifacts.capabilitystatements	1	1	unchanged
artifacts.questionnaires	0	0	unchanged
artifacts.searchparameters	6	6	unchanged
artifacts.operations	0	0	unchanged
artifacts.examples	159	159	unchanged
artifacts.rulesets	14	58	expected-change
artifacts.invariants	0	0	unchanged
artifacts.mappings	16	16	unchanged
artifacts.other_total	0	0	unchanged
artifacts.total	192	192	unchanged
narrative.pages	41	60	expected-change
narrative.intro_note_pages	0	15	expected-change
narrative.translation_pages	0	19	expected-change
directives.total	388	388	unchanged
